Name,Bat Speed,Swing Length,Time to Contact,Swing Acceleration
"Bethancourt, Christian",71.9,7.5,0.142,23.04267497
"Villar, David",68.4,7.8,0.155,20.05182831
"Rojas, Johan",71.3,7.3,0.140,23.28051462
"Hamilton, David",68.9,7.2,0.142,22.04155976
"Ford, Mike",69.8,6.9,0.135,23.60468075
"Schneider, Davis",69.8,6.9,0.135,23.60468075
"Drury, Brandon",72.6,7.4,0.139,23.81101443
"Bohm, Alec",72.2,7.4,0.140,23.54935692
"Langeliers, Shea",74.1,7.3,0.134,25.14490114
"Hernaiz, Darell",68.6,7.1,0.141,22.15778068
"Rodríguez, Julio",76.3,7.9,0.141,24.6353287
"Soler, Jorge",75.4,7.9,0.143,24.05758213
"France, Ty",71,7.6,0.146,22.17376711
"Lowe, Brandon",73.4,7.1,0.132,25.36706068
"Goodman, Hunter",74.9,7.3,0.133,25.69077182
"Devers, Rafael",72.5,7.4,0.139,23.74546453
"Canha, Mark",68.4,7.2,0.144,21.722814
"Myers, Dane",71.2,7.2,0.138,23.53769156
"Conforto, Michael",74.1,7.4,0.136,24.80510518
"Gomes, Yan",68.7,7.6,0.151,20.76042588
"Toro, Abraham",69.6,7.6,0.149,21.30793011
"Locklear, Tyler",72.3,7.5,0.141,23.29977396
"Hernández, Teoscar",73.3,7.8,0.145,23.02765547
"García, Adolis",72,7.9,0.150,21.93685063
"Suzuki, Seiya",73,7.2,0.134,24.74284306
"Tucker, Kyle",72.1,7.5,0.142,23.17104617
"Chourio, Jackson",73.2,7.4,0.138,24.20621124
"Morel, Christopher",76.1,8,0.143,24.20001879
"Wilson, Weston",72.3,7.5,0.141,23.29977396
"Pages, Andy",73.1,7.7,0.144,23.1995951
"Margot, Manuel",72,7.3,0.138,23.73987945
"Hernández, Enrique",71.6,7.4,0.141,23.15958119
"Edman, Tommy",70,6.9,0.134,23.74014493
"Westbrook, Jamie",68.9,7.4,0.146,21.44584193
"Fairchild, Stuart",70.3,7.4,0.144,22.3262255
"Caminero, Junior",77.2,8.3,0.147,24.00451219
"Kiner-Falefa, Isiah",67,6.8,0.138,22.06871618
"McMahon, Ryan",72.5,7.2,0.135,24.40506076
"Muncy, Max",71.3,7.2,0.138,23.6038551
"Velázquez, Nelson",73.4,7.5,0.139,24.01415077
"Stowers, Kyle",73.7,6.8,0.126,26.70314657
"Hedges, Austin",69.9,7.5,0.146,21.77857524
"McCann, James",70.7,6.9,0.133,24.21732184
"Rosario, Amed",71.2,7.3,0.140,23.21525742
"Rivas, Leo",66.4,7.1,0.146,20.75937082
"Acuña Jr., Ronald",76.8,7.6,0.135,25.94449516
"Tauchman, Mike",69.3,7,0.138,22.9353201
"Saggese, Thomas",70.2,7.2,0.140,22.8811635
"Baty, Brett",73.5,7.6,0.141,23.76279178
"Bart, Joey",74.8,7.5,0.137,24.93895829
"Pauley, Graham",67.8,6.9,0.139,22.2713567
"Scott II, Victor",69.1,6.7,0.132,23.82416393
"Short, Zack",70,7,0.136,23.401
"Lipscomb III, Trey",69.8,7.7,0.150,21.15224639
"Arraez, Luis",63.2,6,0.129,22.25457387
"García, Luis",71.7,7.3,0.139,23.54245927
"Cruz, Oneil",78.6,7.7,0.134,26.82197439
"Greene, Riley",74.6,7.2,0.132,25.83934706
"Edwards, Xavier",64.5,6.3,0.133,22.07573929
"Gurriel Jr., Lourdes",70.6,7.5,0.145,22.21695397
"McCormick, Chas",70.8,7.5,0.144,22.34300736
